,Quarter,Institute,Country,Currency,ECL Stage 1,ECL Stage 2,ECL Stage 3,ECL POCI,ECL Performing,ECL Default,ECL Total,EAD Stage 1,EAD Stage 2,EAD Stage 3,EAD POCI,EAD Performing,EAD Default,EAD Total,Unnamed: 18,NPL Ratio,Coverage Ratio Performing,Coverage Ratio Default,Coverage Ratio Total,Share S1 (EAD),Share S2 (EAD),Share S3/Poci (EAD),Unnamed: 26,Exchange Rate,FCCY
0,2018-03-31,DB,DEU,EUR,453.0617928633592,531.0,3468.0,0.0,984.0617928633592,3468.0,4452.061792863359,357232.06179286336,24848.0,7879.0,1859.0,382080.06179286336,9738.0,391818.06179286336,,0.024853371882453044,0.002575538195439383,0.3561306223043746,0.011362574181730716,0.9117294393174655,0.06341718880008146,0.024853371882453044,,,
1,2018-06-30,DB,DEU,EUR,657.9686684073104,504.0,3495.0,9.0,1161.9686684073104,3504.0,4665.96866840731,359053.9686684073,26586.0,7913.0,2078.0,385639.9686684073,9991.0,395630.9686684073,,0.025253331491281263,0.0030130919064730805,0.3507156440796717,0.011793739716867382,0.9075476823184271,0.06719898619029162,0.025253331491281263,,,
2,2018-09-30,DB,DEU,EUR,457.15274151436006,487.0,3300.0,-1.0,944.1527415143601,3299.0,4243.15274151436,362432.1527415144,26248.0,7845.0,1832.0,388680.1527415144,9677.0,398357.1527415144,,0.024292271227973162,0.0024291251684833365,0.34091143949571145,0.010651629353992428,0.9098171082086457,0.06589062056338117,0.024292271227973162,,,
3,2018-12-31,DB,DEU,EUR,496.0,501.0,3247.0,3.0,997.0,3250.0,4247.0,362794.0,32335.0,7452.0,1963.0,395129.0,9415.0,404544.0,,0.02327311738648948,0.0025232265918219113,0.34519383961763145,0.010498239993671887,0.8967973817433951,0.0799295008701155,0.02327311738648948,,,
4,2019-03-31,DB,DEU,EUR,520.8027706034281,527.0,3252.0,17.0,1047.8027706034281,3269.0,4316.802770603428,375851.80277060345,29428.0,7312.0,2289.0,405279.80277060345,9601.0,414880.80277060345,,0.02314158653734721,0.0025853811698494772,0.34048536610769714,0.010404922912256998,0.9059271970663343,0.07093121639631848,0.02314158653734721,,,
5,2019-06-30,DB,DEU,EUR,544.3831885419113,534.0,2996.0,37.0,1078.3831885419113,3033.0,4111.383188541911,380111.3831885419,29124.0,7543.0,2222.0,409235.3831885419,9765.0,419000.3831885419,,0.02330546794656735,0.0026351171791151825,0.3105990783410138,0.009812361404671724,0.90718624239897,0.06950828965446261,0.02330546794656735,,,
6,2019-09-30,DB,DEU,EUR,536.2084996478043,515.0,3068.0,54.0,1051.2084996478043,3122.0,4173.208499647804,392400.2084996478,28511.0,7537.0,2264.0,420911.2084996478,9801.0,430712.2084996478,,0.022755333623212155,0.0024974590327372665,0.31853892459953065,0.009689088020478567,0.9110496539360775,0.06619501244071031,0.022755333623212155,,,
7,2019-12-31,DB,DEU,EUR,537.0,488.0,2932.0,33.0,1025.0,2965.0,3990.0,400434.0,23832.0,7437.0,2130.0,424266.0,9567.0,433831.0,,0.022052366013493734,0.00241593717149147,0.3099195149994774,0.009197129757901119,0.9230184103948311,0.05493383368177931,0.022052366013493734,,,
8,2020-03-31,DB,DEU,EUR,588.1651600293189,586.0,3132.0,78.0,1174.165160029319,3210.0,4384.165160029319,405144.1651600293,43656.0,8040.0,2062.0,448800.1651600293,10102.0,458902.1651600293,,0.022013406706148816,0.002616231568476908,0.3177588596317561,0.009553594410478459,0.8828552051366909,0.09513138815716023,0.022013406706148816,,,
9,2020-06-30,DB,DEU,EUR,589.7021744441736,796.0,3438.0,121.0,1385.7021744441736,3559.0,4944.702174444174,377763.70217444416,51795.0,10419.0,1981.0,429558.70217444416,12400.0,441958.70217444416,,0.028056920112652595,0.0032258738268592653,0.28701612903225804,0.01118815434590643,0.854748872045828,0.11719420784151945,0.028056920112652595,,,
10,2020-09-30,DB,DEU,EUR,473.3330075739068,720.0,3550.0,114.0,1193.3330075739068,3664.0,4857.333007573907,378961.3330075739,40992.0,10606.0,2034.0,419953.3330075739,12640.0,432593.3330075739,,0.0292191280714414,0.0028415847995005316,0.289873417721519,0.011228404686229558,0.8760221300057321,0.0947587419228264,0.0292191280714414,,,
11,2020-12-31,DB,DEU,EUR,522.0,647.0,3506.0,133.0,1169.0,3639.0,4808.0,385422.0,34537.0,10138.0,1710.0,419959.0,11848.0,431807.0,,0.027438184188769518,0.002783605066208844,0.30714044564483456,0.011134604117117138,0.892579323633012,0.07998249217821851,0.027438184188769518,,,
12,2018-03-31,Coba,DEU,EUR,215.0,286.0,1436.0,59.0,501.0,1495.0,1996.0,,,,,203659.0,4119.0,207778.0,,0.019824042968938003,0.0024599944024079464,0.3629521728574897,0.009606406838067552,,,0.019824042968938003,,,
13,2018-06-30,Coba,DEU,EUR,226.0,290.0,1394.0,53.0,516.0,1447.0,1963.0,,,,,208160.0,3902.0,212062.0,,0.01840027916364082,0.002478862413528055,0.37083546899026143,0.009256726806311361,,,0.01840027916364082,,,
14,2018-09-30,Coba,DEU,EUR,247.0,321.0,1428.0,59.0,568.0,1487.0,2055.0,,,,,210974.0,3716.0,214690.0,,0.017308677628208115,0.0026922748774730536,0.40016146393972013,0.00957194093809679,,,0.017308677628208115,,,
15,2018-12-31,Coba,DEU,EUR,243.0,317.0,1469.0,61.0,560.0,1530.0,2090.0,,,,,211751.0,3769.0,215520.0,,0.017487936154417225,0.0026446156098436373,0.4059432210135314,0.009697475872308835,,,0.017487936154417225,,,
16,2019-03-31,Coba,DEU,EUR,254.0,351.0,1437.0,81.0,605.0,1518.0,2123.0,,,,,225142.0,3667.0,228809.0,,0.016026467490352216,0.002687192971546846,0.41396236705754025,0.009278481178624967,,,0.016026467490352216,,,
17,2019-06-30,Coba,DEU,EUR,254.0,330.0,1461.0,92.0,584.0,1553.0,2137.0,,,,,229786.0,3762.0,233548.0,,0.016108037748128863,0.0025414951302516254,0.41281233386496546,0.009150153287546885,,,0.016108037748128863,,,
18,2019-09-30,Coba,DEU,EUR,248.0,297.0,1453.0,74.0,545.0,1527.0,2072.0,,,,,232354.0,3568.0,235922.0,,0.015123642559829096,0.002345558931630185,0.4279708520179372,0.00878256372868999,,,0.015123642559829096,,,
19,2019-12-31,Coba,DEU,EUR,239.0,295.0,1521.0,76.0,534.0,1597.0,2131.0,,,,,231325.0,3735.0,235060.0,,0.01588956011231175,0.0023084405057819087,0.4275769745649264,0.009065770441589382,,,0.01588956011231175,,,
